ad_id,reporting_start,reporting_end
708746,17/08/2017,17/08/2017
708749,17/08/2017,17/08/2017
708771,17/08/2017,17/08/2017
708815,30/08/2017,30/08/2017
708818,17/08/2017,17/08/2017
708820,17/08/2017,17/08/2017
708889,17/08/2017,17/08/2017
708895,17/08/2017,17/08/2017
708953,17/08/2017,17/08/2017
708958,30/08/2017,30/08/2017
708979,30/08/2017,30/08/2017
709023,29/08/2017,29/08/2017
709038,29/08/2017,29/08/2017
709040,29/08/2017,29/08/2017
709059,30/08/2017,30/08/2017
709105,30/08/2017,30/08/2017
709115,30/08/2017,30/08/2017
709124,30/08/2017,30/08/2017
709179,30/08/2017,30/08/2017
709183,30/08/2017,30/08/2017
709320,17/08/2017,17/08/2017
709323,17/08/2017,17/08/2017
709326,18/08/2017,18/08/2017
709327,18/08/2017,18/08/2017
709328,18/08/2017,18/08/2017
709455,18/08/2017,18/08/2017
709544,18/08/2017,18/08/2017
709614,19/08/2017,19/08/2017
709756,19/08/2017,19/08/2017
709761,18/08/2017,18/08/2017
709899,18/08/2017,18/08/2017
709901,18/08/2017,18/08/2017
710045,17/08/2017,17/08/2017
710088,17/08/2017,17/08/2017
710360,17/08/2017,17/08/2017
710477,17/08/2017,17/08/2017
710480,17/08/2017,17/08/2017
710571,18/08/2017,18/08/2017
710617,18/08/2017,18/08/2017
710623,18/08/2017,18/08/2017
710628,17/08/2017,17/08/2017
710682,29/08/2017,29/08/2017
710763,29/08/2017,29/08/2017
710836,27/08/2017,27/08/2017
710867,26/08/2017,26/08/2017
710880,26/08/2017,26/08/2017
710961,27/08/2017,27/08/2017
710968,27/08/2017,27/08/2017
711217,27/08/2017,27/08/2017
711623,27/08/2017,27/08/2017
711764,27/08/2017,27/08/2017
711785,26/08/2017,26/08/2017
711877,26/08/2017,26/08/2017
712052,25/08/2017,25/08/2017
734209,25/08/2017,25/08/2017
734210,25/08/2017,25/08/2017
734215,26/08/2017,26/08/2017
734243,26/08/2017,26/08/2017
734266,26/08/2017,26/08/2017
734272,26/08/2017,26/08/2017
734290,26/08/2017,26/08/2017
734313,26/08/2017,26/08/2017
734314,27/08/2017,27/08/2017
734352,27/08/2017,27/08/2017
734361,29/08/2017,29/08/2017
734381,29/08/2017,29/08/2017
734399,28/08/2017,28/08/2017
734418,29/08/2017,29/08/2017
734421,29/08/2017,29/08/2017
734427,29/08/2017,29/08/2017
734433,29/08/2017,29/08/2017
734582,29/08/2017,29/08/2017
734605,28/08/2017,28/08/2017
734660,28/08/2017,28/08/2017
734666,28/08/2017,28/08/2017
734726,28/08/2017,28/08/2017
734737,27/08/2017,27/08/2017
734785,28/08/2017,28/08/2017
734794,28/08/2017,28/08/2017
734796,28/08/2017,28/08/2017
734800,28/08/2017,28/08/2017
734803,28/08/2017,28/08/2017
734852,28/08/2017,28/08/2017
734854,19/08/2017,19/08/2017
734856,19/08/2017,19/08/2017
734866,20/08/2017,20/08/2017
734881,20/08/2017,20/08/2017
734901,20/08/2017,20/08/2017
734903,20/08/2017,20/08/2017
734925,20/08/2017,20/08/2017
734939,20/08/2017,20/08/2017
734968,20/08/2017,20/08/2017
734999,20/08/2017,20/08/2017
735014,19/08/2017,19/08/2017
735032,19/08/2017,19/08/2017
735033,18/08/2017,18/08/2017
735043,18/08/2017,18/08/2017
