campaign_id,age,gender,interest_id,clicks,spent
916,30-34,M,15,0,0.00
916,30-34,M,15,5,7.56
916,30-34,M,15,10,14.42
916,30-34,M,15,20,34.01
916,30-34,M,15,30,51.93
916,30-34,M,15,40,68.24
916,30-34,M,15,50,88.75
916,30-34,M,15,100,180.13
916,30-34,M,15,200,353.63
916,30-34,M,15,300,518.89
916,30-34,M,15,400,640.17
916,30-34,M,15,500,653.05
916,30-34,M,15,1000,653.05
916,30-34,M,16,0,0.00
916,30-34,M,16,5,7.37
916,30-34,M,16,10,14.23
916,30-34,M,16,20,32.93
916,30-34,M,16,30,50.84
916,30-34,M,16,40,66.48
916,30-34,M,16,50,88.26
916,30-34,M,16,100,185.01
916,30-34,M,16,200,352.26
916,30-34,M,16,300,517.36
916,30-34,M,16,400,635.50
916,30-34,M,16,500,648.38
916,30-34,M,16,1000,648.38
916,30-34,M,20,0,0.06
916,30-34,M,20,5,7.46
916,30-34,M,20,10,14.31
916,30-34,M,20,20,33.11
916,30-34,M,20,30,50.66
916,30-34,M,20,40,66.56
916,30-34,M,20,50,86.66
916,30-34,M,20,100,176.55
916,30-34,M,20,200,343.78
916,30-34,M,20,300,508.01
916,30-34,M,20,400,629.29
916,30-34,M,20,500,642.17
916,30-34,M,20,1000,642.17
916,30-34,M,28,0,0.00
916,30-34,M,28,5,7.32
916,30-34,M,28,10,13.62
916,30-34,M,28,20,32.42
916,30-34,M,28,30,49.97
916,30-34,M,28,40,65.87
916,30-34,M,28,50,85.97
916,30-34,M,28,100,180.03
916,30-34,M,28,200,340.94
916,30-34,M,28,300,508.02
916,30-34,M,28,400,630.32
916,30-34,M,28,500,643.20
916,30-34,M,28,1000,643.20
916,30-34,M,29,0,0.00
916,30-34,M,29,5,7.11
916,30-34,M,29,10,13.97
916,30-34,M,29,20,32.77
916,30-34,M,29,30,49.51
916,30-34,M,29,40,64.48
916,30-34,M,29,50,84.43
916,30-34,M,29,100,176.82
916,30-34,M,29,200,341.09
916,30-34,M,29,300,486.64
916,30-34,M,29,400,607.92
916,30-34,M,29,500,620.80
916,30-34,M,29,1000,620.80
916,30-34,M,27,0,0.30
916,30-34,M,27,5,8.23
916,30-34,M,27,10,15.08
916,30-34,M,27,20,33.94
916,30-34,M,27,30,50.92
916,30-34,M,27,40,67.15
916,30-34,M,27,50,87.33
916,30-34,M,27,100,182.81
916,30-34,M,27,200,352.12
916,30-34,M,27,300,518.65
916,30-34,M,27,400,639.93
916,30-34,M,27,500,653.15
916,30-34,M,27,1000,653.15
916,30-34,M,31,0,0.54
916,30-34,M,31,5,8.36
916,30-34,M,31,10,15.21
916,30-34,M,31,20,34.01
916,30-34,M,31,30,51.56
916,30-34,M,31,40,67.46
916,30-34,M,31,50,87.14
916,30-34,M,31,100,181.31
916,30-34,M,31,200,347.89
916,30-34,M,31,300,512.11
916,30-34,M,31,400,633.39
916,30-34,M,31,500,646.27
916,30-34,M,31,1000,646.27
916,30-34,M,7,0,0.00
916,30-34,M,7,5,7.19
916,30-34,M,7,10,14.04
916,30-34,M,7,20,32.84
916,30-34,M,7,30,50.39
916,30-34,M,7,40,66.29
916,30-34,M,7,50,86.38
916,30-34,M,7,100,180.94
916,30-34,M,7,200,347.75
916,30-34,M,7,300,511.97
916,30-34,M,7,400,633.25
916,30-34,M,7,500,646.13
916,30-34,M,7,1000,646.13
916,30-34,M,30,0,0.00
916,30-34,M,30,5,7.28
916,30-34,M,30,10,14.13
916,30-34,M,30,20,32.93
916,30-34,M,30,30,49.89
916,30-34,M,30,40,66.38
916,30-34,M,30,50,86.48
916,30-34,M,30,100,181.03
916,30-34,M,30,200,347.89
916,30-34,M,30,300,512.11
916,30-34,M,30,400,633.39
